INSURANCE TYPE,VEHICLE TYPE,VEHICLE USE,VEHICLE MAKE,VEHICLE MODEL,VEHICLE MAKE YEAR,SUM INSURED,POLICY PREMIUM,VEHICLE AGE,PREMIUM RATE,VEHICLE AGE BAND,LOG POLICY PREMIUM
Comprehensive,Car,Private,Nissan,X-Trail,2016,13500000.0,181211.26,9,0.0134230562962962,8-12 Years,12.107424330346328
Comprehensive,Car,Private,Mitsubishi,Outlander,2013,14000000.0,187815.5,12,0.0134153928571428,8-12 Years,12.143220701321807
Comprehensive,Car,Private,Toyota,Corona,1991,1875000.0,27672.29,34,0.0147585546666666,13+ Years,10.228222967049955
Comprehensive,Car,Private,Honda,Vezel,2014,10850000.0,146210.62,11,0.0134756331797235,8-12 Years,11.892810303303593
Comprehensive,Car,Private,Toyota,Passo,2020,8100000.0,109890.32,5,0.0135667061728395,4-7 Years,11.607247156380838
Comprehensive,Car,Private,Nissan,Wingroad,2005,4275000.0,59370.82,20,0.0138879111111111,13+ Years,10.991574982007931
Comprehensive,Car,Private,Nissan,March,1987,895000.0,14728.75,38,0.0164567039106145,13+ Years,9.597624537146999
Comprehensive,Car,Private,Toyota,Carina,1986,1075000.0,17106.11,39,0.0159126604651162,13+ Years,9.747249445547945
Comprehensive,Car,Private,Toyota,Prius,2015,11690000.0,157305.65,10,0.0134564285714285,8-12 Years,11.96595236405868
Comprehensive,Car,Private,Toyota,Rush,2018,17375000.0,232390.59,7,0.0133749979856115,4-7 Years,12.356179115697532
Comprehensive,Car,Private,Toyota,Axio,2017,14375000.0,192768.18,8,0.013409960347826,8-12 Years,12.169248793608663
Comprehensive,Car,Private,Toyota,Vitz,2019,9990000.0,134852.65,6,0.0134987637637637,4-7 Years,11.811945395313174
Comprehensive,Car,Private,Volkswagen,Polo,2018,13800000.0,185173.2,7,0.0134183478260869,4-7 Years,12.129052282634545
Comprehensive,Car,Private,Toyota,Allion,2018,17100000.0,228758.56,7,0.0133776935672514,4-7 Years,12.340426774614219
Comprehensive,Car,Private,Toyota,Land Cruiser Prado,2007,21900000.0,292155.62,18,0.0133404392694063,13+ Years,12.585045307318534
Comprehensive,Car,Private,Toyota,Vitz,2016,7950000.0,107908.85,9,0.0135734402515723,8-12 Years,11.589051435309552
Comprehensive,Car,Private,Mazda,6,2015,14700000.0,197060.03,10,0.013405444217687,8-12 Years,12.191268756697273
Comprehensive,Car,Private,Toyota,Aqua,2015,8450000.0,114512.09,10,0.0135517266272189,8-12 Years,11.648444418586143
Comprehensive,Car,Private,BMW,X5,2016,34500000.0,458572.15,9,0.0132919463768115,8-12 Years,13.03587509993792
Comprehensive,Car,Private,Toyota,Corolla,2003,5995000.0,82087.75,22,0.0136927022518765,13+ Years,11.315556258036708
Comprehensive,Car,Private,Nissan,Sunny,2010,6075000.0,83144.47,15,0.013686332510288,13+ Years,11.32834700328131
Comprehensive,Car,Private,Mercedes Benz,E250,2013,25400000.0,338382.27,12,0.0133221366141732,8-12 Years,12.731934466957801
Comprehensive,Car,Private,BMW,318i,2017,19975000.0,266730.41,8,0.0133532120150187,8-12 Years,12.493997476013838
Comprehensive,Car,Private,Honda,CRV,2018,27800000.0,370080.8,7,0.0133122589928057,4-7 Years,12.821479341266667
