INSURANCE TYPE,VEHICLE TYPE,VEHICLE USE,VEHICLE MAKE,VEHICLE MODEL,VEHICLE MAKE YEAR,SUM INSURED,POLICY PREMIUM,VEHICLE AGE,PREMIUM RATE,VEHICLE AGE BAND,LOG POLICY PREMIUM
Comprehensive,Car,Private,Suzuki,Swift,2010,4450000.0,61266.96,15,0.0137678561797752,13+ Years,11.02301230991487
Comprehensive,Car,Private,Datsun,Redi Go,2017,2890000.0,40663.47,8,0.0140704048442906,8-12 Years,10.613110017194904
Comprehensive,Car,Private,Toyota,Hilux,2006,11975000.0,160655.41,19,0.0134159006263048,13+ Years,11.987023264152612
Comprehensive,Car,Private,Toyota,CHR,2019,17690000.0,236136.24,6,0.0133485720746184,4-7 Years,12.37216844041109
Comprehensive,Car,Private,Mitsubishi,Montero,2005,13850000.0,185419.79,20,0.013387710469314,13+ Years,12.130383061749459
Comprehensive,Car,Private,Honda,Fit,2016,9500000.0,127966.14,9,0.01347012,8-12 Years,11.759528791193855
Comprehensive,Car,Private,Suzuki,Wagon R,2018,6725000.0,91314.93,7,0.0135784282527881,4-7 Years,11.422080531100372
Comprehensive,Car,Private,Porsche,Cayenne,2011,20300000.0,270609.03,14,0.0133304940886699,13+ Years,12.508434059811654
Comprehensive,Car,Private,Honda,Civic,2019,18000000.0,240231.14,6,0.0133461744444444,4-7 Years,12.389360984839273
Comprehensive,Car,Private,Toyota,Passo,2016,7200000.0,97588.26,9,0.013553925,8-12 Years,11.488522725362625
Comprehensive,Car,Private,Honda,Vezel,2015,11850000.0,159003.85,10,0.0134180464135021,8-12 Years,11.976689983881812
Comprehensive,Car,Private,Toyota,Premio,2017,17900000.0,238910.5,8,0.0133469553072625,8-12 Years,12.383848469451278
Comprehensive,Car,Private,Suzuki,Wagon R,2016,5650000.0,77116.73,9,0.0136489787610619,8-12 Years,11.253088494203917
Comprehensive,Car,Private,Micro,Trend,2012,1550000.0,22965.2,13,0.0148162580645161,13+ Years,10.041778848823862
Comprehensive,Car,Private,Suzuki,Esteem,2000,1720000.0,25210.6,25,0.0146573255813953,13+ Years,10.135059485046252
Comprehensive,Car,Private,Micro,MX 7,2014,3350000.0,46738.84,11,0.0139518925373134,8-12 Years,10.752352184894862
Comprehensive,Car,Private,Toyota,Avanza,2011,7250000.0,98249.08,14,0.0135515972413793,13+ Years,11.49527134398054
Comprehensive,Car,Private,Toyota,Sprinter,1996,3190000.0,44625.41,29,0.0139891567398119,13+ Years,10.706081115221432
Comprehensive,Car,Private,Nissan,Leaf,2023,20800000.0,277212.26,2,0.0133275125,0-3 Years,12.53254238065164
Comprehensive,Car,Private,Toyota,Mark,2007,10300000.0,138532.32,18,0.0134497398058252,13+ Years,11.838866153292704
Comprehensive,Car,Private,Tata,Indica,2015,2750000.0,38813.96,10,0.0141141672727272,8-12 Years,10.566561018309816
Comprehensive,Car,Private,Renault,KWID,2017,3375000.0,47068.76,8,0.0139462992592592,8-12 Years,10.75938603559315
Comprehensive,Car,Private,Toyota,Tank,2019,9500000.0,127966.14,6,0.01347012,4-7 Years,11.759528791193855
Comprehensive,Car,Private,Toyota,Passo,2009,4950000.0,67871.2,16,0.0137113535353535,13+ Years,11.125381804083311
Comprehensive,Car,Private,Daihatsu,Terios,2003,4650000.0,63909.26,22,0.0137439268817204,13+ Years,11.065235190856988
Comprehensive,Car,Private,Toyota,Passo,2015,6950000.0,94286.14,10,0.0135663510791366,8-12 Years,11.454100086045091
Comprehensive,Car,Private,Toyota,Corolla,1991,1430000.0,21380.62,34,0.0149514825174825,13+ Years,9.970286953457801
Comprehensive,Car,Private,Honda,N-Box,2016,6875000.0,93295.4,9,0.0135702399999999,8-12 Years,11.443536800882004
Comprehensive,Car,Private,Audi,A4,2017,24000000.0,319476.97,8,0.0133115404166666,8-12 Years,12.674443598935765
Comprehensive,Car,Private,Micro,Panda Cross,2015,4250000.0,58625.67,10,0.0137942752941176,8-12 Years,10.978944991483583
Comprehensive,Car,Private,Suzuki,Swift,2017,9575000.0,128956.88,8,0.0134680814621409,8-12 Years,11.767241118399374
Comprehensive,Car,Private,Honda,Fit,2012,6550000.0,89003.55,13,0.0135883282442748,13+ Years,11.396442771003017
Comprehensive,Car,Private,Honda,Fit,2012,6690000.0,90852.06,13,0.0135802780269058,13+ Years,11.416998755150326
Comprehensive,Car,Private,Land Rover,Range Rover,2019,123000000.0,1627034.6,6,0.0132279235772357,4-7 Years,14.302270266723934
Comprehensive,Car,Private,Suzuki,Alto,2017,3680000.0,51097.68,8,0.0138852391304347,8-12 Years,10.841513944155608
Comprehensive,Car,Private,Nissan,March,1996,2075000.0,29899.34,29,0.0144093204819277,13+ Years,10.305625130551585
Comprehensive,Car,Private,Suzuki,Wagon R,2014,5790000.0,78965.23,11,0.0136382089810017,8-12 Years,11.276775571704086
Comprehensive,Car,Private,Toyota,Aqua,2014,7375000.0,99899.64,11,0.013545713898305,8-12 Years,11.51193137102253
Comprehensive,Car,Private,Nissan,Sunny,2001,3700000.0,51361.61,24,0.0138815162162162,13+ Years,10.846665754829674
Comprehensive,Car,Private,Mahindra,KUV100,2021,4975000.0,68201.11,4,0.0137087658291457,4-7 Years,11.130230781769393
Comprehensive,Car,Private,Nissan,X-Trail,2013,11800000.0,158344.02,12,0.0134189847457627,8-12 Years,11.972531602151122
Comprehensive,Car,Private,Mitsubishi,Outlander,2013,14750000.0,197306.61,12,0.0133767193220338,8-12 Years,12.192519261971388
Comprehensive,Car,Private,Honda,Fit,2013,8475000.0,114427.76,12,0.0135018005899705,8-12 Years,11.6477077249339
Comprehensive,Car,Private,Toyota,Vitz,2016,7790000.0,105381.18,9,0.0135277509627727,8-12 Years,11.565348830586691
Comprehensive,Car,Private,Toyota,Corona,1990,1600000.0,23626.02,35,0.0147662625,13+ Years,10.070146251352304
Comprehensive,Car,Private,Toyota,Soluna,2000,3175000.0,44427.46,25,0.0139929007874015,13+ Years,10.701635534064328
Comprehensive,Car,Private,Mitsubishi,eK Wagon,2016,5550000.0,75796.08,9,0.0136569513513513,8-12 Years,11.235815048461015
Comprehensive,Car,Private,Suzuki,Celerio,2015,4700000.0,64569.08,10,0.0137381021276595,8-12 Years,11.075506424585209
Comprehensive,Car,Private,Suzuki,Alto,2015,3280000.0,45814.09,10,0.0139677103658536,8-12 Years,10.732368791819516
Comprehensive,Car,Private,Tata,Indica,2015,2650000.0,37493.31,10,0.0141484188679245,8-12 Years,10.531944467112503
Comprehensive,Car,Private,Toyota,Starlet,1996,2800000.0,39474.78,29,0.0140981357142857,13+ Years,10.583442598269984
Comprehensive,Car,Private,Suzuki,Maruti,2011,4050000.0,55984.37,14,0.0138233012345679,13+ Years,10.93284568558556
Comprehensive,Car,Private,Nissan,Leaf,2014,4300000.0,59286.49,11,0.0137875558139534,8-12 Years,10.990153601516205
Comprehensive,Car,Private,Perodua,Axia,2016,5795000.0,79031.22,9,0.0136378291630716,8-12 Years,11.277610896402994
Comprehensive,Car,Private,Toyota,Corolla,2001,5990000.0,81607.53,24,0.0136239616026711,13+ Years,11.309689069802593
Comprehensive,Car,Private,Honda,Civic,1994,3000000.0,42116.08,31,0.0140386933333333,13+ Years,10.64820863810878
Comprehensive,Car,Private,Mitsubishi,Lancer,1979,750000.0,12399.02,46,0.0165320266666666,13+ Years,9.425453364495054
Comprehensive,Car,Private,Micro,Panda,2018,3750000.0,52022.43,7,0.013872648,4-7 Years,10.859449473007341
Comprehensive,Car,Private,Honda,Grace,2017,12500000.0,167588.55,8,0.013407084,8-12 Years,12.029273114250904
Comprehensive,Car,Private,Toyota,Soluna,2000,2845000.0,40068.63,25,0.0140838769771528,13+ Years,10.59837396974678
Comprehensive,Car,Private,Nissan,March,2008,4500000.0,61927.79,17,0.0137617311111111,13+ Years,11.033740455552957
Comprehensive,Car,Private,Jeep,Compass,2019,23000000.0,306269.5,6,0.0133160652173913,4-7 Years,12.632223977376285
Comprehensive,Car,Private,Toyota,Land Cruiser Sahara,2010,80000000.0,1059105.35,15,0.013238816875,13+ Years,13.872936044470476
Comprehensive,Car,Private,Suzuki,Swift,2009,5575000.0,76125.99,16,0.0136548860986547,13+ Years,11.24015814588563
Comprehensive,Car,Private,Honda,Vezel,2015,10875000.0,146126.29,10,0.013436900229885,8-12 Years,11.892233370165687
Comprehensive,Car,Private,Micro,Rexton,2015,13800000.0,184758.97,10,0.0133883311594202,8-12 Years,12.12681280217172
Comprehensive,Car,Private,Honda,Fit,2013,7000000.0,94946.96,12,0.0135638514285714,8-12 Years,11.461084231017525
Comprehensive,Car,Private,Suzuki,Alto,2014,3150000.0,44097.55,11,0.0139992222222222,8-12 Years,10.69418218107579
Comprehensive,Car,Private,Tesla,Model Y,2024,39850000.0,528818.04,1,0.0132702143036386,0-3 Years,13.178401572922848
Comprehensive,Car,Private,MG,MG4 X,2024,19650000.0,262023.32,1,0.0133345201017811,0-3 Years,12.476192602862794
Comprehensive,Car,Private,Suzuki,Spacia,2017,5950000.0,81078.67,8,0.0136266672268907,8-12 Years,11.303187530503386
Comprehensive,Car,Private,Mahindra,KUV100,2024,8995000.0,121295.92,1,0.0134848160088938,0-3 Years,11.705996703018673
Comprehensive,Car,Private,Mercedes Benz,C350,2016,24500000.0,326081.21,9,0.0133094371428571,8-12 Years,12.694904806471449
Comprehensive,Car,Private,Suzuki,Maruti,2006,1680000.0,24681.74,19,0.0146915119047619,13+ Years,10.113859492926633
Comprehensive,Car,Private,Suzuki,Alto,2011,2425000.0,34936.35,14,0.0144067422680412,13+ Years,10.4613117365072
Comprehensive,Car,Private,Honda,Insight,2011,7400000.0,100644.79,14,0.0136006472972972,13+ Years,11.51936260207588
Comprehensive,Car,Private,Audi,e-tron,2024,59500000.0,788762.93,1,0.0132565198319327,0-3 Years,13.578222353537393
Comprehensive,Car,Private,Tesla,Model 3,2024,39500000.0,524610.51,1,0.0132812787341772,0-3 Years,13.170413286700336
Comprehensive,Car,Private,Toyota,Corolla,2008,6650000.0,90738.44,17,0.0136448781954887,13+ Years,11.41574738171996
Comprehensive,Car,Private,Mercedes Benz,EQS,2024,127500000.0,1686883.96,1,0.0132304624313725,0-3 Years,14.338394167146015
Comprehensive,Car,Private,Mercedes Benz,CLA45,2017,39000000.0,518006.27,8,0.013282212051282,8-12 Years,13.157744555892169
Comprehensive,Car,Private,Volkswagen,ID,2022,25500000.0,339702.92,3,0.0133216831372549,0-3 Years,12.735829693675853
Comprehensive,Car,Private,Toyota,Axio,2015,9950000.0,134323.79,10,0.0134998783919598,8-12 Years,11.808015952223382
Comprehensive,Car,Private,Toyota,Corolla,2010,8500000.0,115172.91,15,0.013549754117647,13+ Years,11.654198525899991
Comprehensive,Car,Private,Ssang Yong,Korando,2014,6750000.0,92059.08,11,0.0136383822222222,8-12 Years,11.430196686369333
Comprehensive,Car,Private,Toyota,CHR,2018,14800000.0,198380.68,7,0.0134041,4-7 Years,12.197948130859752
Comprehensive,Car,Private,Toyota,Allion,2004,6700000.0,91399.26,21,0.0136416805970149,13+ Years,11.423003602077145
Comprehensive,Car,Private,Toyota,Vitz,2018,9550000.0,129041.2,7,0.013512167539267,4-7 Years,11.767894761630819
Comprehensive,Car,Private,Honda,CRZ,2012,6350000.0,86776.5,13,0.0136655905511811,13+ Years,11.371102650456153
Comprehensive,Car,Private,Honda,Vezel,2017,14500000.0,194418.73,8,0.013408188275862,8-12 Years,12.177774657628081
Comprehensive,Car,Private,Honda,Fit,2012,8000000.0,108568.67,13,0.0135710837499999,13+ Years,11.5951473657076
Comprehensive,Car,Private,Toyota,Yaris,2008,6490000.0,88626.0,17,0.0136557781201849,13+ Years,11.392191830575566
Comprehensive,Car,Private,Mercedes Benz,W220,2001,7950000.0,107908.85,24,0.0135734402515723,13+ Years,11.589051435309552
Comprehensive,Car,Private,Nissan,March,1996,2100000.0,30643.49,29,0.014592138095238,13+ Years,10.330208153588496
Comprehensive,Car,Private,DFSK,Glory,2018,4300000.0,59700.73,7,0.0138838906976744,4-7 Years,10.997116277185288
Comprehensive,Car,Private,Nissan,Sunny,1999,3375000.0,47483.99,26,0.0140693303703703,13+ Years,10.768168940084212
Comprehensive,Car,Private,Suzuki,Liana,2004,3200000.0,45172.61,21,0.014116440625,13+ Years,10.718268345756277
Comprehensive,Car,Private,Maruti Suzuki,Alto,2006,2375000.0,34276.52,19,0.0144322189473684,13+ Years,10.442245024703764
Comprehensive,Car,Private,Suzuki,Wagon R,2017,6000000.0,82153.73,8,0.0136922883333333,8-12 Years,11.316359699409835
Comprehensive,Car,Private,Toyota,Carina,1991,1500000.0,22719.61,34,0.0151464066666666,13+ Years,10.03102772106622
Comprehensive,Car,Private,Toyota,Aqua,2013,6875000.0,93710.64,12,0.0136306385454545,8-12 Years,11.447977686765073
Comprehensive,Car,Private,Mitsubishi,Lancer,1981,900000.0,14794.73,44,0.0164385888888888,13+ Years,9.602093904610662
Comprehensive,Car,Private,Kia,Sportage,2015,13300000.0,178569.97,10,0.0134263135338345,8-12 Years,12.092741392219873
Comprehensive,Car,Private,Micro,Panda Cross,2012,2590000.0,37115.77,13,0.0143304131274131,13+ Years,10.521824168027898
Comprehensive,Car,Private,Audi,Q4,2024,46000000.0,610459.57,1,0.0132708602173913,0-3 Years,13.321968984042519
Comprehensive,Car,Private,Mitsubishi,Montero,2003,14200000.0,190456.79,22,0.01341245,13+ Years,12.15718587419442
Comprehensive,Car,Private,Honda,CRV,2007,7950000.0,107908.85,18,0.0135734402515723,13+ Years,11.589051435309552
Comprehensive,Car,Private,Toyota,Prius,2011,2650000.0,37908.55,14,0.0143051132075471,13+ Years,10.54295833822099
Comprehensive,Car,Private,Kia,Sorento,2015,26300000.0,350269.09,10,0.0133182163498098,8-12 Years,12.766459821583553
Comprehensive,Car,Private,Mahindra,KUV100,2024,6495000.0,88691.98,1,0.0136554241724403,0-3 Years,11.392936021986428
Comprehensive,Car,Private,Mahindra,KUV100,2024,6495000.0,88691.98,1,0.0136554241724403,0-3 Years,11.392936021986428
Comprehensive,Car,Private,Mahindra,KUV100,2024,6495000.0,88691.98,1,0.0136554241724403,0-3 Years,11.392936021986428
Comprehensive,Car,Private,Nissan,X-Trail,2015,12500000.0,168003.79,10,0.0134403032,8-12 Years,12.031747769883701
Comprehensive,Car,Private,Suzuki,Wagon R,2017,6095000.0,83408.4,8,0.0136847251845775,8-12 Years,11.331516291827697
Comprehensive,Car,Private,Mazda,Familia,1993,1800000.0,26681.55,32,0.0148230833333333,13+ Years,10.191765072673743
Comprehensive,Car,Private,Toyota,Axio,2015,11700000.0,157437.62,10,0.0134562068376068,8-12 Years,11.966790947003762
Comprehensive,Car,Private,Ford,Ranger,2018,28850000.0,383949.09,7,0.0133084606585788,4-7 Years,12.858267849164184
Comprehensive,Car,Private,Toyota,Vitz,2007,6000000.0,82153.73,18,0.0136922883333333,13+ Years,11.316359699409835
Comprehensive,Car,Private,Toyota,Passo,2016,7790000.0,105795.41,9,0.0135809255455712,8-12 Years,11.569271865883564
Comprehensive,Car,Private,Mercedes Benz,CLA 200,2019,30800000.0,409703.21,6,0.0133020522727272,4-7 Years,12.923190739293736
Comprehensive,Car,Private,Nissan,X-Trail,2015,13300000.0,178569.97,10,0.0134263135338345,8-12 Years,12.092741392219873
Comprehensive,Car,Private,Honda,Grace,2015,11000000.0,148192.09,10,0.0134720081818181,8-12 Years,11.906271364576252
Comprehensive,Car,Private,Honda,Civic,2018,15900000.0,212909.79,7,0.0133905528301886,4-7 Years,12.268628530668254
Comprehensive,Car,Private,Honda,Vezel,2014,10550000.0,142248.67,11,0.0134832862559241,8-12 Years,11.865339032126483
Comprehensive,Car,Private,Suzuki,Swift,2017,9300000.0,125739.09,8,0.0135203322580645,8-12 Years,11.74197227769948
Comprehensive,Car,Private,MG,MG4,2024,19950000.0,266400.5,1,0.0133534085213032,0-3 Years,12.49275984826315
Comprehensive,Car,Private,Suzuki,Hustler,2016,6100000.0,83474.38,9,0.0136843245901639,8-12 Years,11.33230701706265
Comprehensive,Car,Private,Honda,Insight,2018,19000000.0,253852.85,7,0.0133606763157894,4-7 Years,12.444513986697403
Comprehensive,Car,Private,BMW,X5,2016,36290000.0,482213.84,9,0.0132877883714521,8-12 Years,13.086145019867427
Comprehensive,Car,Private,BMW,E46,2000,5950000.0,81493.91,25,0.0136964554621848,13+ Years,11.308295843290892
Comprehensive,Car,Private,Suzuki,Wagon R Stingray,2017,7130000.0,97078.74,8,0.0136155315568022,8-12 Years,11.483287981633408
Comprehensive,Car,Private,Toyota,Premio,2014,14300000.0,191777.44,11,0.0134110097902097,8-12 Years,12.164096026354013
Comprehensive,Car,Private,Toyota,Premio,2013,13000000.0,174607.03,12,0.01343131,8-12 Years,12.07029891216629
Comprehensive,Car,Private,Honda,Vezel,2015,10850000.0,146210.62,10,0.0134756331797235,8-12 Years,11.892810303303593
Comprehensive,Car,Private,Suzuki,Alto,2010,4275000.0,59370.82,15,0.0138879111111111,13+ Years,10.991574982007931
Comprehensive,Car,Private,Suzuki,Swift,2011,5485000.0,75351.55,14,0.0137377484047402,13+ Years,11.22993304555235
Comprehensive,Car,Private,Suzuki,Spacia,2015,5990000.0,82021.77,10,0.0136931168614357,8-12 Years,11.314752170626452
Comprehensive,Car,Private,Toyota,Prius,2010,8350000.0,113191.44,15,0.0135558610778443,13+ Years,11.636844658068743
Comprehensive,Car,Private,Bajaj,Qute,2018,1150000.0,18096.85,7,0.0157363913043478,4-7 Years,9.803548425668088
Comprehensive,Car,Private,Mitsubishi,Attrage,2015,7800000.0,105927.38,10,0.0135804333333333,8-12 Years,11.570518484355505
Comprehensive,Car,Private,Toyota,Vitz,2019,9975000.0,134654.7,6,0.0134992180451127,4-7 Years,11.810476429315552
Comprehensive,Car,Private,Micro,Panda,2013,2290000.0,33153.82,12,0.0144776506550218,8-12 Years,10.408943384742837
Comprehensive,Car,Private,Suzuki,Swift,2017,9500000.0,128380.38,8,0.0135137242105263,8-12 Years,11.7627606441459
Comprehensive,Car,Private,Maruti Suzuki,WagonR,2008,2950000.0,41870.49,17,0.0141933864406779,13+ Years,10.642360444718678
Comprehensive,Car,Private,Toyota,Vanguard,2013,13600000.0,182531.91,12,0.0134214639705882,8-12 Years,12.11468576451453
Comprehensive,Car,Private,Honda,Grace,2016,10500000.0,141587.85,9,0.0134845571428571,8-12 Years,11.860682714203515
Comprehensive,Car,Private,Mitsubishi,Lancer,1976,775000.0,13144.17,49,0.0169602193548387,13+ Years,9.483809669754375
Comprehensive,Car,Private,Honda,Grace,2014,10000000.0,134984.62,11,0.013498462,8-12 Years,11.812923533228547
Comprehensive,Car,Private,Toyota,Crown,2014,37500000.0,498194.57,11,0.0132851885333333,8-12 Years,13.118747989759443
Comprehensive,Car,Private,Toyota,Land Cruiser Prado,1998,9500000.0,128380.38,27,0.0135137242105263,13+ Years,11.7627606441459
Comprehensive,Car,Private,Toyota,Allion,2013,12500000.0,168003.79,12,0.0134403032,8-12 Years,12.031747769883701
Comprehensive,Car,Private,Honda,Vezel,2018,16850000.0,225456.44,7,0.0133802041543026,4-7 Years,12.325886683970056
Comprehensive,Car,Private,Mitsubishi,Outlander,2014,15000000.0,201022.97,11,0.0134015313333333,8-12 Years,12.211179433662394
Comprehensive,Car,Private,Mini,Cooper,1969,1745000.0,25954.75,56,0.014873782234957,13+ Years,10.164148444010285
Comprehensive,Car,Private,Bajaj,Qute,2018,1225000.0,19087.58,7,0.0155816979591836,4-7 Years,9.85684552945863
Comprehensive,Car,Private,Nissan,X-Trail,2001,4950000.0,68285.44,24,0.0137950383838383,13+ Years,11.13146648997687
Comprehensive,Car,Private,Toyota,Hilux,2007,13000000.0,174607.03,18,0.01343131,13+ Years,12.07029891216629
Comprehensive,Car,Private,Nissan,Sunny,1984,825000.0,13803.99,41,0.016732109090909,13+ Years,9.532785399988766
Comprehensive,Car,Private,Nissan,Patrol,2013,43000000.0,570837.16,12,0.0132752827906976,8-12 Years,13.254861015889112
Comprehensive,Car,Private,Nissan,AD Wagon,1989,2100000.0,30643.49,36,0.014592138095238,13+ Years,10.330208153588496
Comprehensive,Car,Private,Toyota,IST,2003,5100000.0,70266.91,22,0.013777825490196,13+ Years,11.160070501321842
Comprehensive,Car,Private,Suzuki,Celerio,2019,6650000.0,90738.44,6,0.0136448781954887,4-7 Years,11.41574738171996
Comprehensive,Car,Private,Hyundai,Creta,2017,15500000.0,207626.21,8,0.0133952393548387,8-12 Years,12.243499491049194
Comprehensive,Car,Private,Nissan,Sunny,1986,1445000.0,21992.81,39,0.0152199377162629,13+ Years,9.998516329113915
Comprehensive,Car,Private,Suzuki,Estilo,2010,3390000.0,47681.94,15,0.0140654690265486,13+ Years,10.772328960912091
Comprehensive,Car,Private,Suzuki,Wagon R Stingray,2018,7350000.0,99983.97,7,0.0136032612244897,4-7 Years,11.51277515367405
Comprehensive,Car,Private,Toyota,Toyota,2000,5200000.0,71587.55,25,0.0137668365384615,13+ Years,11.17869042395966
Comprehensive,Car,Private,Honda,CRV,2002,5800000.0,79512.44,23,0.0137090413793103,13+ Years,11.28368134295774
Comprehensive,Car,Private,Mercedes Benz,S500,2016,67500000.0,894424.7,9,0.0132507362962962,8-12 Years,13.703937115317197
Comprehensive,Car,Private,Toyota,Vitz,2008,5775000.0,79182.53,17,0.0137112606060606,13+ Years,11.279523601631517
Comprehensive,Car,Private,Daihatsu,Mira,2016,5900000.0,80833.08,9,0.0137005220338983,8-12 Years,11.300153937762305
Comprehensive,Car,Private,Tata,Nano,2012,920000.0,15058.66,13,0.0163681086956521,13+ Years,9.619774924737813
Comprehensive,Car,Private,Perodua,Viva Elite,2012,4675000.0,64653.41,13,0.0138296064171123,13+ Years,11.076811595330648
Comprehensive,Car,Private,Nissan,Wingroad,1997,2300000.0,33285.79,28,0.0144720826086956,13+ Years,10.412915900566889
Comprehensive,Car,Private,Toyota,Corolla,1995,1850000.0,27342.38,30,0.0147796648648648,13+ Years,10.216229731019903
Comprehensive,Car,Private,Toyota,Premio,2014,12750000.0,171305.91,11,0.0134357576470588,8-12 Years,12.051212022085906
Comprehensive,Car,Private,Nissan,March,1999,2990000.0,42398.35,26,0.014180050167224,13+ Years,10.654888310913861
Comprehensive,Car,Private,Chevrolet,Cruze,2004,3750000.0,52436.67,21,0.0139831119999999,13+ Years,10.867380505159014
Comprehensive,Car,Private,Suzuki,Alto,2008,2700000.0,38568.38,17,0.0142845851851851,13+ Years,10.560213976403642
Comprehensive,Car,Private,Honda,Fit,2015,8850000.0,119795.67,10,0.013536233898305,8-12 Years,11.693551167949948
Comprehensive,Car,Private,Toyota,Corolla,1990,1725000.0,25690.82,35,0.0148932289855072,13+ Years,10.153927932281212
Comprehensive,Car,Private,Nissan,Wingroad,1997,2290000.0,33153.82,28,0.0144776506550218,13+ Years,10.408943384742837
Comprehensive,Car,Private,Honda,Fit,2013,7275000.0,98993.23,12,0.0136073168384879,8-12 Years,11.502816844589933
Comprehensive,Car,Private,Mitsubishi,Eclipse,2018,16500000.0,220833.68,7,0.0133838593939393,4-7 Years,12.305169646269018
Comprehensive,Car,Private,Hyundai,Getz,2002,2975000.0,42200.41,23,0.0141850117647058,13+ Years,10.6502089117882
Comprehensive,Car,Private,Audi,Q4,2024,49900000.0,661969.81,1,0.0132659280561122,0-3 Years,13.402976740291402
Comprehensive,Car,Private,Toyota,Axio,2016,12050000.0,162060.38,9,0.0134489941908713,8-12 Years,11.99573043134314
Comprehensive,Car,Private,Suzuki,Maruti,2011,2075000.0,30313.58,14,0.0146089542168674,13+ Years,10.319384063882394
Comprehensive,Car,Private,Toyota,Vitz,2007,5150000.0,70927.73,18,0.0137723747572815,13+ Years,11.169430849059099
Comprehensive,Car,Private,Suzuki,Alto,2015,3350000.0,47153.08,10,0.0140755462686567,8-12 Years,10.761175816661481
Comprehensive,Car,Private,Nissan,X-Trail,2003,8000000.0,108568.67,22,0.0135710837499999,13+ Years,11.5951473657076
Comprehensive,Car,Private,Toyota,Land Cruiser Prado,2010,33000000.0,438760.45,15,0.0132957712121212,13+ Years,12.991711150287792
Comprehensive,Car,Private,Toyota,Axio,2016,12000000.0,161399.56,9,0.0134499633333333,8-12 Years,11.99164450445261
Comprehensive,Car,Private,Ssang Yong,Korando,2015,9500000.0,128380.38,10,0.0135137242105263,8-12 Years,11.7627606441459
Comprehensive,Car,Private,Toyota,Vios,2003,4850000.0,66964.79,22,0.0138071731958762,13+ Years,11.111937170959132
Comprehensive,Car,Private,DFSK,Glory,2023,14700000.0,197060.03,2,0.013405444217687,0-3 Years,12.191268756697273
Comprehensive,Car,Private,Suzuki,Swift,2005,4400000.0,61021.38,20,0.0138684954545454,13+ Years,11.018995961115415
Comprehensive,Car,Private,BMW,523i,2006,12800000.0,171965.73,19,0.01343482265625,13+ Years,12.055056306852991
Comprehensive,Car,Private,Peugeot,3008,2011,11500000.0,154796.32,14,0.0134605495652173,13+ Years,11.949871927326399
Comprehensive,Car,Private,Suzuki,Wagon R Stingray,2015,5680000.0,77926.86,10,0.0137195176056338,8-12 Years,11.263538805919048
Comprehensive,Car,Private,Tata,Nano,2016,1850000.0,27342.38,9,0.0147796648648648,8-12 Years,10.216229731019903
Comprehensive,Car,Private,Toyota,Vitz,2010,5825000.0,79842.35,15,0.0137068412017167,13+ Years,11.287821869022931
Comprehensive,Car,Private,Mahindra,KUV100,2021,5350000.0,73569.02,4,0.0137512186915887,4-7 Years,11.205992884776212
Comprehensive,Car,Private,Audi,A3,2017,14000000.0,187815.5,8,0.0134153928571428,8-12 Years,12.143220701321807
Comprehensive,Car,Private,Mitsubishi,Montero,2001,15000000.0,201022.97,24,0.0134015313333333,13+ Years,12.211179433662394
Comprehensive,Car,Private,Mazda,Familia,2001,3750000.0,52436.67,24,0.0139831119999999,13+ Years,10.867380505159014
Comprehensive,Car,Private,Toyota,Aqua,2013,7250000.0,98663.32,12,0.0136087337931034,8-12 Years,11.499478660571466
Comprehensive,Car,Private,Toyota,Axio,2015,9900000.0,133663.97,10,0.0135014111111111,8-12 Years,11.803091724273203
Comprehensive,Car,Private,Toyota,Premio,2013,12600000.0,169324.44,12,0.0134384476190476,8-12 Years,12.039577822632806
Comprehensive,Car,Private,Nissan,Dayz,2020,7490000.0,101833.47,5,0.0135959238985313,4-7 Years,11.531103930892842
Comprehensive,Car,Private,Mercedes Benz,E250,2010,18750000.0,250551.74,15,0.0133627594666666,13+ Years,12.431424716269003
Comprehensive,Car,Private,Toyota,Corolla,2002,5500000.0,75549.5,23,0.0137362727272727,13+ Years,11.232556585812672
Comprehensive,Car,Private,Mercedes Benz,S400,2014,55000000.0,729328.81,11,0.0132605238181818,8-12 Years,13.499881322948434
Comprehensive,Car,Private,Hyundai,Sonata,2001,2400000.0,34606.44,24,0.01441935,13+ Years,10.45182396683215
Comprehensive,Car,Private,Land Rover,Range Rover,2017,55000000.0,729328.81,8,0.0132605238181818,8-12 Years,13.499881322948434
Comprehensive,Car,Private,Kia,Sportage,2013,12200000.0,164040.85,12,0.0134459713114754,8-12 Years,12.00787685717954
Comprehensive,Car,Private,Chery,Tiggo,2014,6750000.0,92059.08,11,0.0136383822222222,8-12 Years,11.430196686369333
Comprehensive,Car,Private,Micro,Trend,2009,1790008.0,26549.69,16,0.0148321627612837,13+ Years,10.18681101503295
Comprehensive,Car,Private,Toyota,Premio,2016,15500000.0,207626.21,9,0.0133952393548387,8-12 Years,12.243499491049194
Comprehensive,Car,Private,Land Rover,Defender,1979,17500000.0,234042.15,46,0.0133738371428571,13+ Years,12.363260779049336
Comprehensive,Car,Private,Micro,BAIC,2018,5850000.0,80172.26,7,0.0137046598290598,4-7 Years,11.291945321800128
Comprehensive,Car,Private,Kia,Sportage,2010,10300000.0,138946.56,15,0.0134899572815533,13+ Years,11.841851874742988
